Place,Date,Designation,Review
"Tijuana, B.C.",2018-03-19,auxiliar de produccion,es una empresa dedicada ala fabricacion de plasmas y siempre trata de dar lo mejor de sus productos
"Jundiaí, SP",2018-03-18,Analista de Infra estrutura Pleno,Empresa sem visibilidade de futuro apesar de ser do setor de tecnologia. Não faz investimentos nem em tecnologia e nem nos funcionários.
"Jundiaí, SP",2018-03-15,Operadora de Produção,trabalhei nos dois horarios que a empresa oferece e gostei bastante
"Jundiaí, SP",2018-03-15,Reparadora de Circuito Eletrônico,"um lugar bom de trabalhar.voltaria a trabalhar, gostei do ambiente de trabalho."
"Jundiaí, SP",2018-03-14,Operador de Produção,"Ótima empresa de se trabalhar,  ambiente muito agradável."
"Indaiatuba, SP",2018-03-13,Técnico de Diagnóstico Pleno,"Ambiente excelente para trabalhar, equipe competente e comprometida."
"Ciudad Juárez, Chih.",2018-03-13,Supervisor de Compras,Exceso en rotacion de personal debido a la cultura laboral.
"Santa Clara, CA",2018-03-13,Project Manager,"I have been 2  years here but salary is the same as 2 years ago.So, it 's really hard to keep working in here since other companys may get more bonus than us."
Jundiaí SP,2018-03-11,auxiliar de manufatura,Bom de se trabalhar local de qualidade mas poucos conhecimentos entre funcionários..
Okres Kutná Hora,2018-03-11,asamlare - ambalare servere,"am fost evaluat ca  muncitor silitor, asculator, iar despre  Fox Con , am tot respectul , m-au invatat ce e disciplina la locul de munca , pacat ca aerotermele de deasupra , produceau curenti de aer ce ma imbolnaveau de raceala, foarte,foarte des, ."
jundiai sp,2018-03-10,Operador de Produção,"empresa boa,bons profissionais,benefícios bons e carga horária Boa"
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
São paulo. SP,2018-03-08,auxiliar de produção,"Não tenho o que reclamar das Empresas q trabalhei ,sempre teve seu lado p ajudar o funcionário ,Boa conduta entre empregado e empresa."
Jundiai Anhanguera,2018-03-08,produção,Empresa de grande porte com uma ótima oportunidade.
"El Lago, La Rioja",2018-03-07,Control de Calidad,excelente servicio de comer subsidiado una mejoría
Manaus,2018-03-07,Operador Multifuncional,"Ótimo local de trabalho, oferece um aprendizado de varias funções, o que nao torna um trabalho monótono."
"Plainfield, IL",2018-03-06,Assembly Line Worker,"Assembly line where you have to scan computer monitors, take them apart & put them back together. We had to pack the monitors up & put them in boxes where they had to be shipped off"
"Houston, TX",2018-03-05,Quality Team Lead,"The job function is very routing, and lack of competition. For people who only want to have a stable job and don't need a very moderate salary, Foxconn might be a good choice.But for people who wants to achieve better goal, and enhance the self-value, Foxconn won't be the first option. The promotion and salary increase mechanism is not solid at all. And not much professional skills needed."
"Jundiaí, SP",2018-03-05,Alxiliar de Almoxarifado,"Empresa de fácil aprendizado, dinâmica entre os funcionários."
"São Paulo, SP",2018-03-05,OPERADOR DE MANUFATURA,Organizada.Efetua bem os benefíciosDa prioridades.Demandas estabelecidas concretizadas..
"Jundiaí, SP",2018-03-01,Operador de Produção I,"empresa boa em questoes de beneficios , beneficios otimos."
"Jundiaí, SP",2018-03-01,Operador de Produção II,"Boa empresa, pena que da poucas oportunidades aos funcionários."
"Chihuahua, Chih.",2018-02-28,inspector de calidad,trabajo bajo presión pero con excelente ambiente de compañerismo y jefaturas
"Jundiaí, SP",2018-02-28,Operador de Produção,"Bom atstar placas de hifone boa gerencia,bom ambiente,metas serviço que eu adorava fazer."
"Manaus, AM",2018-02-28,Operadora de Máquina Multifuncional II,Ambiente de trabalho e gestão agradáveis. Oportunidades internas.
"Jundiaí, SP",2018-02-25,Operadora de Produção I,Empresa proativa. Boas oportunidades para galgar postos.
"Jundiaí, SP",2018-02-24,Aprendiz,Excelente ambiente de trabalho! ótima politica interna....
"Ciudad Juárez, Chih.",2018-02-23,Tecnico de pruebas,"El aprendizaje es diario, son personas muy profesionales las personas con las que trabajo"
"Jundiaí, SP",2018-02-23,auxiliar de produção,"otima empresa, o ponto negativo e porque nao tem estabilidade"
"Jundiaí, SP",2018-02-23,Aprendiz Produtivo,"trabalhando nesta empresa aprendi aplicaçoes de componetes em placas de celular, manuseamento de placas e  saidas de forno"
"Jundiaí, SP",2018-02-23,Operador de Produçao,"Boa empresa pra se trabalhar, bastante benefícios e boa gestão"
"Mooresville, IN",2018-02-22,Production Operator,Everything is last minute you never know what time your shift is over until the end of the night also you never know if your gonna work 20 days straight then after 8 months they change the schedule to 3 days a week about 35 hrs no more OT...
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
indaiatuba- SP,2018-02-22,Supervisor produção,"Foi um grande aprendizado nessa empresa. Mudei de uma cultura americana para uma cultura asiática. Os chineses tem um modo todo peculiar de trabalhar e até entrar no modus operandi deles, leva um certo tempo. Depois é só seguir que  as coisas fluem normalmente"
"Jundiaí, SP",2018-02-21,Operador de Máquinas,"Empresa muito boa, por ser multinacional tem ótimas oportunidades de crescimento profissional."
"Jundiaí, SP",2018-02-21,Inspetor de Qualidade,Empresa boa de se trabalhar ambiente agravadavel  procurava fazer tudo com exelencia.
Bắc Giang,2018-02-21,Kĩ thuật sản xuất,"chế độ đãi ngộ thấp, cơ hội thăng tiến thấp, áp lực trong công việc rất cao"
"Plainfield, IN",2018-02-19,Warranty Technician,"On a typical day was working at a stressful speed. I learned the functions, difference, and problems with computers. The workplace culture was very friendly."
"Ciudad Juárez, Chih.",2018-02-15,Ingeniero de Manufactura,"Es llegar y revisar los pormenores que pasaron en el turno anterior y responder con sentido de urgencia y pertenencia , si este afecta a la producción del dia."
"Jundiaí, SP",2018-02-15,Auxiliar de produção II,"uma empresa com cargas horarias intensas e baixo salario, com pouca chance de crescimento para colaborador interno .porem com uma otima tecnologia"
"Jundiaí, SP",2018-02-15,"Operadora de manufatura, Operadora de qualidade","Consegui ficar lá por seis anos, ficaria muito mais se não tivesse sido dispensada pelo fato de acabar a produção de ipad."
"Guadalajara, Jal.",2018-02-12,operador de produccion,es una empresa donde te ofrece trabajo y buen ambiente de trabajo mas el salario no es bueno
"Santa Teresa, Chih.",2018-02-11,Jefe de Grupo en area de embarques,"El trabajo es facil de desempeñar y el los superiores son muy flexiblesel problema d este empleo es la distancia, hacemos mas de una hora de caminoel sueldo es atractivo pero busco superarme y estar en constante crecimiento."
"Jundiaí, SP",2018-02-09,Aprendiz Qualidade,Aprendi muito sobre o setor da Qualidade e agradeço muito a oportunidade.
"Manaus, AM",2018-02-07,Técnico de diagnóstico II,"Empresa comprometida com seus colaboradores e clientes, ótimos benefícios, excelente auxílio, empresa que busca sempre a melhoria entre os colaboradores....."
"Plainfield, IN",2018-02-07,Manufacturing Engineer,"Management doesn't listen to employees and is so disconnected from the actual process as to have no idea of what is happening on the production floor.Most new employees, even at management level, only last a couple months."
"Ciudad Juárez, Chih.",2018-02-06,Técnico de prueba,"El trabajo es muy relajado, y nos apoyan mucho con el tiempo extra."
"Ciudad Juárez, Chih.",2018-02-06,Auxiliar General (Cafetería),"Es un ambiente de trabajo muy tranquilo, el personal esta capacitado para brindarle atención y respuesta a tus preguntas."
"Jundiaí, SP",2018-02-06,Operadora de Produção,"Uma empresa organizada , muito boa de trabalhar..."
"Jundiaí, SP",2018-02-05,Técnico de Processos,"Trabalhava na linha de producao na área  de back end.atuando como técnico de processo resolvendo problemas  diários e corriqueiros de um dia de produção onde o objetivo dommeu cargo era manutenção  preventiva e emergencial em máquinas mecânica ,eletrônica  e pneumática."
"Jundiaí, SP",2018-02-05,Operador de Empilhadeir,"Lugar ótimo de se trabalhar e ambiente muito agradável,"
RODOVIA DOS BANDERANTES,2018-02-05,OPERADOR DE REPARO,Empresa otima para trabalha bom beneficios  convenio otimo restaurante bom onibus  cartao  alimentacao  organizacao boa
"Jundiaí, SP",2018-02-03,Operador (a) de Qualidade III,Empresa muito boa. Com muita oportunidade de crescimento e também valoriza os funcionários.
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Jundiaí, SP",2018-02-02,OPERADORA DE PRODUÇAO I,"Fui contratada como produção mas nunca exerci a função,desde o início trabalhei como inspetora d qualidade mas não registrado na carteira a minha vdd função"
"Jundiaí, SP",2018-02-02,auxiliar de produção,"A empresa excelente para trabalhar. ambiente limpo, organizado, seguro, desde a portaria até o interno da empresa.A empresa oferece bons benefícios e um bom salário."
"San Jose, CA",2018-02-01,Manufacturing Clerk,"working there through a contract for a few months, the pacing was good as long as I finished my part of the project within a certain timeline. the staff and management was friendly and understanding."
"Jundiaí, SP",2018-02-01,Aprendiz Auxiliar Administrativo,"Ótima empresa, onde me deu oportunidade para mais conhecimentos na área administrativa."
Kutná hora,2018-01-31,Picker,Nízké platové ohodnocení. Dvanactihodinove směny s minimem volna na zotavenou.
"Ciudad Juárez, Chih.",2018-01-31,Control de Produccion,"Excelente ambiente de trabajo, muy dinamico de mucho apremdizaje respecto a grandes volumenes de produccion."
